Video-Filename,English-Manual-Response-Correction
0_17_19F3A652-3AA-0032A-00000B64-19F2B6C5,"The video shows a scenic view of a river flowing through a landscape with trees on both sides. The sun is setting behind the trees, casting a warm glow on the water and creating long shadows on the riverbank. The camera showing the river's flow and the movement of the trees' branches in the wind. The leaves of the trees are visible, creating a layered effect with the sunlight filtering through them. The water is calm and reflects the colors of the sky. The riverbanks are covered with vegetation."
100_20_1CF7EACF-2DE-00002-000003E4-1CF61C1D,"The video shows a scenic beach with tall trees in the foreground and a tranquil ocean in the background. The camera pans across the beach, showing two men standing on the sandy shore, one of them taking pictures with a camera. The waves gently lap at the shore, creating a soothing sound. The beach is mostly empty, with a few beach chairs and umbrellas scattered here and there. The ocean is a bright blue color, with a few boats visible in the distance. The sky is clear and blue, with a few puffy clouds scattered about."
101_5_1CF7EC73-387-00004-000003E4-1CF61C1D,"In the video, a middle-aged man with short brown hair and a beard wearing a black suit and tie stands in front of a Christmas tree. He holds a microphone in one hand and a piece of paper in the other. The man looks directly at the camera and begins to speak. The camera zooms in on his face as he talks. The man's voice is clear and confident. He is standing in a dimly lit room with a Christmas tree in the background. The tree is decorated with lights and ornaments. The man's facial expressions and body language convey enthusiasm and excitement as he speaks."
102_80_1CF7EDF1-329-00006-000003E4-1CF61C1D,"In the video, a line of old cannons can be seen on the wall of a fortification, overlooking a picturesque bay. The cannons are made of bronze and have intricate details on their barrels and wheels. They are arranged in a row, with each one facing out towards the sea. The bay is calm and clear, with a few boats visible on the water. In the distance, a mountain range rises up from the coast, with a few trees visible on the slopes. The sky is clear and blue, with a few puffy clouds scattered about. The video pans slowly along the line of cannons, giving a good view of each one. The lighting is bright and sunny, with a few shadows cast by the cannons and the wall."
103_60_1CF7EE90-2B0-00008-000003E4-1CF61C1D,"In the video, a gray crab is visible walking along the edge of a stone platform near a body of water. The crab is seen from a low angle, and the camera pans down to follow its movement. The platform is surrounded by lush green vegetation, and the crab is seen walking towards the right side of the frame. The water is calm and clear, and a small dock is visible in the distance. The crab's shell is covered in small ridges and spines, and its legs are long and thin. As it walks, it appears to be searching for food or a place to hide. The background is a bright blue sky with a few white clouds, and the sound of the waves can be heard in the distance."
104_8_1CF7EF73-16D-0000A-000003E4-1CF61C1D,"The video shows a panoramic view of a city street in the 1980s. The camera pans left to right, showing a high-rise building with a large glass facade, a billboard with a advertisement and a group of people walking on the sidewalk. The street is busy with cars, buses, and trucks driving by. The building on the left side of the frame appears to be a hotel or office complex, with a large glass lobby and a parking garage. The people on the sidewalk are dressed in casual, 80s-style clothing, with men wearing jeans and women wearing skirts and blouses. The sky is clear and blue, with a few white clouds visible. The video is grainy and has a warm color tone, suggesting it was shot on film."
105_54_1CF7F030-077-0000C-000003E4-1CF61C1D,"The video shows a tall, slender church steeple with a spire in the center of a medieval town. The steeple is topped with a cross and has a series of small arched windows. The church is surrounded by a group of low-rise buildings with red tile roofs, and is located in the heart of the town, surrounded by narrow streets and historic buildings. The sky is clear and blue, with a few white clouds scattered about. The camera pans up to show the steeple in relation to the surrounding town, giving a sense of the church's grandeur and importance in the community."
106_150_1CF7F095-159-0000E-000003E4-1CF61C1D,"The video shows a road and a river, with a bridge in the distance. There are two people walking on the sidewalk, and the camera is mounted on a car driving on the road. The sky is overcast, with dark clouds and a hint of sunlight peeking through. The river is calm and still, with a few ripples on the surface. The bridge is a tall, steel structure with a central pillar and two sidewalk-like paths for pedestrians. The video is shot in real-time, with a smooth and steady camera movement. The focus is on the people and the bridge, with the background blurred."
107_5_1CF7F2B0-3AD-00010-000003E4-1CF61C1D,"In this video, a person is walking along a rocky shoreline with a small dog. The camera follows the person and the dog as they move along the rocks, with the ocean waves crashing against the shore in the background. The person is wearing a striped shirt and carrying a backpack, and the dog is a small, fluffy white dog with a pink collar. The video is shot in a calm and peaceful atmosphere, with the sound of the waves and the wind blowing in the background."
108_4_1CF7F3F4-1D8-00013-000003E4-1CF61C1D,"In the video, a person is seen swimming in a pool with a picturesque view of the ocean and the surrounding landscape. The pool is located on a cliff overlooking the sea, and the water is crystal clear. The person is wearing a swimsuit and is swimming laps in the pool. The sun is setting in the background, casting a warm glow over the scene. The sky is painted with hues of orange, pink, and purple. The waves can be seen crashing against the shore in the distance. The person is swimming with ease, their arms and legs moving gracefully through the water. The pool's edges are lined with rocks and plants, adding a natural touch to the setting."
109_3_1CF7F487-1DC-00015-000003E4-1CF61C1D,"The video shows a construction worker applying cement to the exterior of a concrete column. The worker can be seen wearing a blue hard hat, a white shirt, and jeans, and using a trowel to apply the cement. The column is already partially built, with rebar protruding from the top and bottom. The worker begins by spreading cement on the top of the column, using a trowel to smooth it out. He then works his way down the column, applying cement to the sides and bottom as well. The cement is visible as a thick, white liquid that is being smoothed out with the trowel. The worker is seen working quickly and efficiently, using a steady hand to ensure that the cement is applied evenly."
10_2_1C534A29-3D7-000D6-00000FEC-1C526C36,"The video shows a group of people standing in front of a sign that reads ""MUTITJULU"" at the base of a large, red rock formation in the desert. The sign is surrounded by low bushes and tall, thin trees. The rock formation is a massive, rust-colored monolith with steep, vertical sides and a flat top. The sun is setting in the background, casting long shadows across the landscape. The group is looking up at the rock face, and one person is taking a photo. The video pans left to reveal more of the rock formation and the surrounding landscape, including a small hill in the distance."
