Original Filename,Shot Filename,Total Number of Keyframes,Keyframes in Shot,Keyframes per Second (Shot),Total Original Time,Start Time,End Time
0_0_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,0_1_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,312,5,1.3157894736842106,139.283,0,3.8
0_0_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,0_2_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,312,4,1.5624999999999998,139.283,3.8,6.36
0_0_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,0_3_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,312,3,3.571428571428572,139.283,6.36,7.2
0_0_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,0_4_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,312,14,3.804347826086956,139.283,7.2,10.88
0_0_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,0_5_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,312,17,2.9720279720279716,139.283,10.88,16.6
0_0_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,0_6_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,312,8,1.6806722689075637,139.283,16.6,21.36
0_0_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,0_7_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,312,6,1.5306122448979584,139.283,21.36,25.28
0_0_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,0_8_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,312,19,2.056277056277056,139.283,25.28,34.52
0_0_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,0_9_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,312,28,2.2580645161290325,139.283,34.52,46.92
0_0_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,0_10_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,312,6,1.764705882352942,139.283,46.92,50.32
0_0_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,0_11_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,312,5,2.659574468085103,139.283,50.32,52.2
0_0_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,0_12_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,312,9,2.10280373831776,139.283,52.2,56.48
0_0_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,0_13_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,312,8,2.6666666666666665,139.283,56.48,59.48
0_0_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,0_14_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,312,6,2.678571428571426,139.283,59.48,61.72
0_0_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,0_15_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,312,25,3.1565656565656557,139.283,61.72,69.64
0_0_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,0_16_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,312,11,2.0072992700729912,139.283,69.64,75.12
0_0_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,0_17_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,312,20,2.7322404371584725,139.283,75.12,82.44
0_0_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,0_18_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,312,14,2.397260273972601,139.283,82.44,88.28
0_0_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,0_19_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,312,9,1.4062499999999987,139.283,88.28,94.68
0_0_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,0_20_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,312,8,1.492537313432836,139.283,94.68,100.04
0_0_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,0_21_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,312,17,2.741935483870973,139.283,100.04,106.24
0_0_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,0_22_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,312,21,2.1169354838709675,139.283,106.24,116.16
0_0_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,0_23_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,312,18,2.4193548387096784,139.283,116.16,123.6
0_0_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,0_24_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,312,15,1.9329896907216446,139.283,123.6,131.36
0_0_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,0_25_19F3A652-3AA-0032A-00000B64-19F2B6C5.webm,312,16,2.0194370819134235,139.283,131.36,139.283
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_1_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,19,4.02542372881356,389.403,0,4.72
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_2_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,7,2.651515151515151,389.403,4.72,7.36
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_3_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,5,3.906249999999999,389.403,7.36,8.64
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_4_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,15,3.348214285714287,389.403,8.64,13.12
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_5_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,4,1.6129032258064513,389.403,13.12,15.6
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_6_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,7,2.3026315789473677,389.403,15.6,18.64
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_7_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,9,2.1226415094339632,389.403,18.64,22.88
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_8_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,15,3.947368421052631,389.403,22.88,26.68
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_9_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,23,4.22794117647059,389.403,26.68,32.12
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_10_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,10,3.1249999999999973,389.403,32.12,35.32
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_11_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,18,4.166666666666666,389.403,35.32,39.64
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_12_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,6,4.411764705882355,389.403,39.64,41.0
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_13_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,18,4.017857142857146,389.403,41.0,45.48
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_14_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,14,2.8925619834710723,389.403,45.48,50.32
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_15_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,9,3.1690140845070465,389.403,50.32,53.16
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_16_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,6,1.9736842105263117,389.403,53.16,56.2
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_17_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,36,2.4930747922437675,389.403,56.2,70.64
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_18_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,24,2.727272727272728,389.403,70.64,79.44
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_19_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,4,1.0416666666666659,389.403,79.44,83.28
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_20_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,26,2.1666666666666665,389.403,83.28,95.28
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_21_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,23,2.0390070921985815,389.403,95.28,106.56
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_22_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,4,1.612903225806449,389.403,106.56,109.04
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_23_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,47,2.175925925925928,389.403,109.04,130.64
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_24_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,9,2.083333333333323,389.403,130.64,134.96
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_25_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,25,1.8168604651162803,389.403,134.96,148.72
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_26_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,33,2.2177419354838714,389.403,148.72,163.6
100_0_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,100_27_1CF7EACF-2DE-00002-000003E4-1CF61C1D.webm,949,27,1.7952127659574477,389.403,163.6,178.64
